Time Point,Cold.temp,Ambient.temp,
01/02/2017 07:00,5.975,10.051,
01/02/2017 07:30,6.077,10.075,
01/02/2017 08:00,6.179,10.1,
01/02/2017 08:30,6.23,10.1,
01/02/2017 09:00,6.102,10.124,
01/02/2017 09:30,6.026,10.124,
01/02/2017 10:00,5.872,10.149,
01/02/2017 10:30,5.975,10.222,
01/02/2017 11:00,6.102,10.247,
01/02/2017 11:30,6.204,10.271,
01/02/2017 12:00,6.153,10.32,
01/02/2017 12:30,6.026,10.345,
01/02/2017 13:00,5.898,10.418,
01/02/2017 13:30,5.898,10.467,
01/02/2017 14:00,5.975,10.541,
01/02/2017 14:30,6.077,10.59,
01/02/2017 15:00,6.179,10.638,
01/02/2017 15:30,6.23,10.663,
01/02/2017 16:00,6.077,10.663,
01/02/2017 16:30,5.924,10.663,
01/02/2017 17:00,5.872,10.614,
01/02/2017 17:30,5.924,10.565,
01/02/2017 18:00,6.026,10.516,
01/02/2017 18:30,6.128,10.467,
01/02/2017 19:00,6.23,10.418,
01/02/2017 19:30,6.102,10.369,
01/02/2017 20:00,5.975,10.32,
01/02/2017 20:30,5.924,10.296,
01/02/2017 21:00,5.872,10.271,
01/02/2017 21:30,6.026,10.222,
01/02/2017 22:00,6.128,10.173,
01/02/2017 22:30,6.204,10.173,
01/02/2017 23:00,6.153,10.149,
01/02/2017 23:30,6.077,10.124,
01/03/2017 00:00,5.949,10.075,
01/03/2017 00:30,5.898,10.051,
01/03/2017 01:00,6.026,10.026,
01/03/2017 01:30,6.128,10.001,
01/03/2017 02:00,6.23,9.977,
01/03/2017 02:30,6.128,9.952,
01/03/2017 03:00,6,9.952,
01/03/2017 03:30,5.898,9.928,
01/03/2017 04:00,5.872,9.903,
01/03/2017 04:30,6.026,9.903,
01/03/2017 05:00,6.153,9.879,
01/03/2017 05:30,6.23,9.854,
01/03/2017 06:00,6.128,9.879,
01/03/2017 06:30,5.975,9.879,
01/03/2017 07:00,5.872,9.903,
01/03/2017 07:30,5.924,9.928,
01/03/2017 08:00,6.026,9.977,
01/03/2017 08:30,6.128,9.977,
01/03/2017 09:00,6.23,10.001,
01/03/2017 09:30,6.128,10.026,
01/03/2017 10:00,5.975,10.051,
01/03/2017 10:30,5.898,10.124,
01/03/2017 11:00,6,10.173,
01/03/2017 11:30,6.128,10.222,
01/03/2017 12:00,6.23,10.247,
01/03/2017 12:30,6.128,10.296,
01/03/2017 13:00,6.026,10.32,
01/03/2017 13:30,5.924,10.32,
01/03/2017 14:00,5.872,10.345,
01/03/2017 14:30,6.026,10.32,
01/03/2017 15:00,6.153,10.32,
01/03/2017 15:30,6.23,10.296,
01/03/2017 16:00,6.077,10.271,
01/03/2017 16:30,5.949,10.222,
01/03/2017 17:00,5.898,10.149,
01/03/2017 17:30,5.924,10.124,
01/03/2017 18:00,6.026,10.075,
01/03/2017 18:30,6.153,10.026,
