BAG,GROUP,COHORT,TREATMENT,TEMP,PH,SIZE-CLASS,BAG-WEIGHT,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27
NA,HL6-LOW,HL,6-LOW,6,LOW,NA,NA,3.69,4.88,7.54,6.28,4.68,4.73,6.08,4.54,4.81,4.1,5.07,4.79,3.14,4.41,4.43,3.19,4.63,4.8,3.05,3.18,,,,,,,
NA,HL6-LOW,HL,6-LOW,6,LOW,NA,NA,4.92,3.64,5.69,3.18,5.51,3.84,2.81,5.52,3.64,3.44,4.05,5.64,3.51,3.32,4.55,4.3,6.99,3.35,4.01,3.46,,,,,,,
AVERAGE,K6-AMB,K,6-AMB,6,AMBIENT,AVERAGE,AVERAGE,15.51,11.66,15.25,9.2,9.08,11.84,15.1,17.96,7.49,11.37,3.8,5.77,6.87,8.74,13.48,15.09,17.4,9.52,10.28,3.96,2.81,14.14,5.28,13.3,15.63,,
159,K6-AMB,K,6-AMB,6,AMBIENT,LARGE,5,18.13,13.86,11.24,15.44,15.13,16.07,15.26,17.19,14.71,14.01,13.94,11.19,13.5,,,,,,,,,,,,,,
160,K6-AMB,K,6-AMB,6,AMBIENT,LARGE,3.6,15.55,14.56,14.68,14.83,11.8,12.27,13.46,14.49,12.63,11.92,13.74,12,13.01,,,,,,,,,,,,,,
161,K6-AMB,K,6-AMB,6,AMBIENT,LARGE,4.2,11.23,16.17,11.18,13.62,11.27,12.77,12.51,16.27,16.19,17.14,20.77,12.97,12.44,,,,,,,,,,,,,,
162,K6-AMB,K,6-AMB,6,AMBIENT,LARGE,4.9,15.69,12.15,13.19,11.95,11.8,18.36,18.83,12.13,14.56,16.64,19.44,15.97,11.31,,,,,,,,,,,,,,
163,K6-AMB,K,6-AMB,6,AMBIENT,LARGE,4.3,11.48,15.69,16.09,16.48,15.45,13.44,16.48,11.11,16.31,16.67,13.61,14.71,14.61,,,,,,,,,,,,,,
164,K6-AMB,K,6-AMB,6,AMBIENT,LARGE,3.3,14.2,11.94,11.28,12.61,11.73,13.59,11.46,12.91,15.32,13.56,12.24,11.64,12.64,,,,,,,,,,,,,,
165,K6-AMB,K,6-AMB,6,AMBIENT,LARGE,3.3,11.28,11.02,11.59,13.5,13.29,11.17,13.64,16.13,14.87,12.06,14.07,15.44,12.45,,,,,,,,,,,,,,
166,K6-AMB,K,6-AMB,6,AMBIENT,LARGE,4.5,12.01,12.06,16.54,15.11,15.07,16.44,15.31,13.16,15.36,12.24,15.91,11.18,13.17,,,,,,,,,,,,,,
167,K6-AMB,K,6-AMB,6,AMBIENT,LARGE,4.6,15.35,11.31,14.3,16.83,12.55,13.84,13.91,15.77,15.61,17.77,16.27,15,12.97,,,,,,,,,,,,,,
168,K6-AMB,K,6-AMB,6,AMBIENT,LARGE,4.5,14.12,11.8,11.25,15.68,12.82,15.01,13.79,15.38,16.08,14.2,14.54,14.63,13.28,,,,,,,,,,,,,,
169,K6-AMB,K,6-AMB,6,AMBIENT,LARGE,4,14.99,15.25,12.53,11.93,15.59,17.8,12.08,12.78,16.42,11.06,11.22,12.36,15.65,,,,,,,,,,,,,,
170,K6-AMB,K,6-AMB,6,AMBIENT,LARGE,4.2,17.21,11.08,14.98,17.37,12.79,17.07,14.13,14.22,12.95,11.93,17.52,12.99,11.97,,,,,,,,,,,,,,
171,K6-AMB,K,6-AMB,6,AMBIENT,SMALL,0.9,9.02,7.59,8.5,10.81,9.19,9.12,6.84,9.84,5.7,6.41,4.13,3.43,3.26,,,,,,,,,,,,,,
172,K6-AMB,K,6-AMB,6,AMBIENT,SMALL,1.3,8.34,10.72,9.64,8.02,8.83,6.42,10.73,10.39,10.2,9.2,8.16,8.16,6.4,,,,,,,,,,,,,,
173,K6-AMB,K,6-AMB,6,AMBIENT,SMALL,1,10.14,8.38,6.91,8.22,9.6,10.78,9.7,4.17,7.65,5.85,9.08,8.27,9.12,,,,,,,,,,,,,,
174,K6-AMB,K,6-AMB,6,AMBIENT,SMALL,0.7,7.93,10.44,7.17,4.95,8.55,8.18,8,7.96,4.67,7.58,7.84,7.02,6.48,,,,,,,,,,,,,,
175,K6-AMB,K,6-AMB,6,AMBIENT,SMALL,0.9,5.08,4.9,4.8,4.06,8.75,9.92,6.63,6.84,6.67,6.98,8.87,10.76,10.32,,,,,,,,,,,,,,
176,K6-AMB,K,6-AMB,6,AMBIENT,SMALL,0.7,5.27,5.14,5.61,4.97,8.85,10.51,5.28,5.24,9.89,9.54,8.84,6.45,5.64,,,,,,,,,,,,,,
177,K6-AMB,K,6-AMB,6,AMBIENT,SMALL,0.8,9.54,7.99,6.22,5.41,9.87,7.4,6.17,7.91,6.66,8.47,10.06,5.75,5.61,,,,,,,,,,,,,,
178,K6-AMB,K,6-AMB,6,AMBIENT,SMALL,0.9,7.2,10.31,9.58,7.7,5.89,5.84,7.32,6.82,8.52,10.3,8.57,9.11,5.79,,,,,,,,,,,,,,
179,K6-AMB,K,6-AMB,6,AMBIENT,SMALL,0.6,5.98,6.13,5.67,8.05,6.81,6.23,9.78,3.41,9.56,8.84,9.07,6.16,8.43,,,,,,,,,,,,,,
180,K6-AMB,K,6-AMB,6,AMBIENT,SMALL,0.8,6.23,5.4,9.05,8.1,8.38,10.28,7.2,4.35,8.72,7.75,7.18,9.64,8.02,,,,,,,,,,,,,,
181,K6-AMB,K,6-AMB,6,AMBIENT,SMALL,0.7,10.49,6.19,6.79,5.83,9.09,8.37,7.42,9.49,6.1,6.27,7.71,7.43,5,,,,,,,,,,,,,,
182,K6-AMB,K,6-AMB,6,AMBIENT,SMALL/LARGE,2.1,9.96,9.76,9.11,12.72,13.32,12.15,12.41,13.54,12.28,5.88,8.26,8.65,7.74,,,,,,,,,,,,,,
AVERAGE,K6-LOW,K,6-LOW,6,LOW,AVERAGE,AVERAGE,8.66,11.08,7.06,10.88,10.64,8.74,6.32,8.02,8.78,9.28,8.26,6.24,8.06,7.56,14.97,11.95,7.63,8.31,8.14,6.22,5.69,6.35,5.35,15.08,10.19,,
183,K6-LOW,K,6-LOW,6,LOW,LARGE,2.1,13.63,9.13,10.11,15.77,11.88,11.08,9.48,10.27,10.57,8.9,14.34,9.24,10.41,,,,,,,,,,,,,,
184,K6-LOW,K,6-LOW,6,LOW,LARGE,3.7,18.07,9.99,9.11,21.74,10.72,9.92,9.02,12.37,19.7,9.49,9.11,9.18,10.62,,,,,,,,,,,,,,
185,K6-LOW,K,6-LOW,6,LOW,LARGE,2.5,15.38,9.78,10.32,10.04,10.58,9.3,10.86,10.39,13.3,15,8.78,17.02,9.3,,,,,,,,,,,,,,
186,K6-LOW,K,6-LOW,6,LOW,LARGE,2.1,9.65,9.94,10.86,10.03,18.54,10.3,9.55,11.39,12,10.24,9.71,11.95,13.34,,,,,,,,,,,,,,
187,K6-LOW,K,6-LOW,6,LOW,LARGE,1.7,9.99,13.93,9.17,9.77,10.83,9.15,11.89,11.38,8.75,9.31,9.38,9.41,9.15,,,,,,,,,,,,,,
188,K6-LOW,K,6-LOW,6,LOW,LARGE,1.5,10.13,11.23,9.97,8.79,11.42,9.44,9.77,8.97,11.11,10.07,8.87,12.47,11.61,,,,,,,,,,,,,,
189,K6-LOW,K,6-LOW,6,LOW,LARGE,1.5,10.65,12.84,10,8.8,9.34,9.18,9.41,8.67,11.08,9.02,13.72,8.62,9.6,,,,,,,,,,,,,,
190,K6-LOW,K,6-LOW,6,LOW,LARGE,0.9,9.89,9.95,11.02,10.4,8.93,9.19,7.67,6.97,7.14,7.66,6.14,7.33,8.32,,,,,,,,,,,,,,
191,K6-LOW,K,6-LOW,6,LOW,MINI,0.2,5.07,5.03,5.79,4.35,4.86,4.11,4.55,4.99,4.59,5.45,4.72,4.31,4.56,,,,,,,,,,,,,,
192,K6-LOW,K,6-LOW,6,LOW,MINI,0.1,5.18,4.23,4.34,4.73,3.57,5.43,4.08,4.11,3.76,3.83,3.84,3.72,4.23,,,,,,,,,,,,,,
193,K6-LOW,K,6-LOW,6,LOW,MINI,<0.1,3.58,4.05,4.19,3.82,3.79,3.72,4.24,3.76,3.92,3.93,3.85,3.01,3.9,,,,,,,,,,,,,,
194,K6-LOW,K,6-LOW,6,LOW,MINI,<0.1,3.37,2.64,3.7,3.83,3.23,3.57,2.95,3.68,3.46,2.83,2.88,3.16,2.89,,,,,,,,,,,,,,
195,K6-LOW,K,6-LOW,6,LOW,SMALL,0.7,6.93,7.76,8.07,6.4,5.61,8.63,8.14,7.44,8.33,7.49,7.19,7.82,6.06,,,,,,,,,,,,,,
196,K6-LOW,K,6-LOW,6,LOW,SMALL,0.3,6.36,6.34,5.44,7.83,8.66,8.64,6.42,5.36,4.61,5.61,5.06,5.41,4.19,,,,,,,,,,,,,,
197,K6-LOW,K,6-LOW,6,LOW,SMALL,0.5,6.92,7.75,7.9,7.71,7.24,6.77,6.5,7.2,6.89,6.36,8.71,4.95,4.92,,,,,,,,,,,,,,
198,K6-LOW,K,6-LOW,6,LOW,SMALL,0.4,8.01,4.01,5.22,6.42,7.24,6.33,7.18,8.34,6.81,5.94,7.26,4.26,4,,,,,,,,,,,,,,
199,K6-LOW,K,6-LOW,6,LOW,SMALL,0.4,4.93,4.69,4.14,3.84,8,6.7,8.06,8.11,7.3,5.34,5.5,5.7,4.36,,,,,,,,,,,,,,
200,K6-LOW,K,6-LOW,6,LOW,SMALL,0.5,7.61,6.81,5.64,7.37,5.7,5.25,4.37,4.08,7.42,8.21,6.71,6.83,7.47,,,,,,,,,,,,,,
201,K6-LOW,K,6-LOW,6,LOW,SMALL,0.5,8.69,7.02,8.03,6.55,7.12,7.2,5.79,5.97,5.23,3.98,6.58,7.27,7.03,,,,,,,,,,,,,,
202,K6-LOW,K,6-LOW,6,LOW,SMALL,0.4,7.36,6.59,5.88,4.66,5.08,4.4,4.37,6.21,8.06,6.36,6.89,5.29,7.04,,,,,,,,,,,,,,
203,K6-LOW,K,6-LOW,6,LOW,SMALL,0.6,7.33,8.24,6.13,7.89,7.72,7.17,6.81,7.34,6.99,8.42,6.58,7.59,7.19,,,,,,,,,,,,,,
204,K6-LOW,K,6-LOW,6,LOW,SMALL,0.4,7.4,6.87,6.19,6.3,5.45,6.45,5.88,5.35,5.98,5.54,5.8,7.54,7.68,,,,,,,,,,,,,,
205,K6-LOW,K,6-LOW,6,LOW,SMALL,0.4,7.49,8.25,7.33,6.56,5.19,4.85,5.71,55.7,7.18,7.17,8.13,6.37,6.03,,,,,,,,,,,,,,
206,K6-LOW,K,6-LOW,6,LOW,SMALL,0.4,7.01,7.25,5.9,7.11,6.32,4.81,6.01,6.66,6.41,6.3,6.39,4.58,5.35,,,,,,,,,,,,,,
NA,NF10-AMB,NF,10-AMB,10,AMBIENT,NA,NA,15.59,14.2,6.86,9.6,8.21,9.1,17.59,9.25,8.22,6.1,9.1,11.12,4.6,6.41,8.87,8.46,12.09,8.12,14.99,4.98,,,,,,,
NA,NF10-AMB,NF,10-AMB,10,AMBIENT,NA,NA,10.09,10.09,13.89,14.42,8.92,4.03,8.9,12.31,12.47,4.36,13.26,8.73,9.32,11.18,9.28,13.72,9.63,7.41,11.47,8.81,,,,,,,
NA,NF10-AMB,NF,10-AMB,10,AMBIENT,NA,NA,6.17,6.34,4.84,12.07,14.8,11.7,5.34,12.5,11.15,9.07,11.3,10.69,7.39,6.13,8.22,9.1,9,8.37,15.94,10.7,,,,,,,
NA,NF10-AMB,NF,10-AMB,10,AMBIENT,NA,NA,9.42,5.58,10.52,8.8,4.09,5.31,9.78,3.23,11.26,9.48,8.85,11.28,9.94,7.62,7.51,10.14,8.38,10.43,6.19,9.54,,,,,,,
